start,end
1368951785588682, 1368954825041242
1368954826657270, 1368954827674201
1368954829503242, 1368954830523245
1368954831605717, 1368954834680063
1368954834898196, 1368954835924344
1368954836152718, 1368954837172720
1368954837401095, 1368954838415977
1368954838634110, 1368954839655137
1368954839872246, 1368954840894297
1368954841111406, 1368954842133457
1368954842351590, 1368954843372617
1368954843589726, 1368954844611777
1368954844829910, 1368954845850937
1368954846069070, 1368954847090097
1368954847308230, 1368954848333353
1368954848553534, 1368954849574561
1368954849802935, 1368954850821914
1368954851048240, 1368954856170784
1368954856389941, 1368954857410968
1368954857642414, 1368954858665489
